Nama_Kota,Curah_Hujan_2021,Produksi_Padi_2021,Curah_Hujan_2022,Produksi_Padi_2022,Curah_Hujan_2023,Produksi_Padi_2023
Bangkalan,2025.737521,195323.29,2315.161421,198122.71,1524.780294,186257.96
Banyuwangi,2842.277372,513490.07,2797.470455,462205.98,1673.364104,454768.46
Blitar,2744.285851,247366.27,2918.205011,215482.79,1876.13095,240224.41
Blitar,2744.285851,5793.3,2918.205011,5212.13,1876.13095,5636.68
Bojonegoro,2460.33897,674002,2799.668377,704288.94,1844.260838,705962.63
Bondowoso,3217.549888,258951.46,3115.219687,238677.65,2000.972254,247778.74
Gresik,2147.911286,379666.19,2409.987401,411242.2,1622.591605,417428.58
Jember,3004.556291,615697.87,3013.096728,607371.19,1849.931833,616725.77
Jombang,2372.770948,326826.64,2500.686721,337172.14,1761.858041,346873.45
Kediri,2584.201577,198222.01,2686.187712,168853.55,1876.101081,183533.76
Kediri,2584.201577,9534.86,2686.187712,10197.5,1876.101081,8271.57
Lamongan,2084.252486,792662.09,2328.084531,903882.29,1573.858335,798704.85
Lumajang,2954.420403,295075.52,3008.436151,300829.01,1817.782891,308646.08
Madiun,2688.435129,461798.12,2918.542362,401573.69,2029.747083,437593.08
Madiun,2688.435129,13505.81,2918.542362,11453.92,2029.747083,12169.62
Magetan,2895.861317,307279.68,3260.811676,266699.89,2175.874164,280592.09
Malang,2755.869452,273358.61,2889.028113,271606.78,1799.657481,279365.91
Malang,2755.869452,11311.4,2889.028113,10771.15,1799.657481,10318.57
Mojokerto,2546.799301,297042.32,2643.170388,281829.41,1835.729183,302890.75
Mojokerto,2546.799301,4414.93,2643.170388,5032.96,1835.729183,3292.78
Nganjuk,2528.521307,429311.01,2632.481663,376476.43,1908.906933,418096.11
Ngawi,2892.395789,786475.65,3263.261402,755938.95,2089.159986,771251.37
Pacitan,2789.658053,88116.57,3183.473083,90428.21,1957.806012,92992.64
Pamekasan,2077.641147,96723.97,2316.537573,107648.71,1541.37559,108483.14
Pasuruan,2527.859878,264950.78,2572.645596,247255.72,1658.208296,260061.94
Pasuruan,2527.859878,8304.59,2572.645596,7293.69,1658.208296,8020.03
Ponorogo,2618.870305,404665.04,2887.217207,359413.77,1962.475495,392994.08
Probolinggo,2846.335443,190180.14,2810.379612,185412.51,1836.48088,201044.34
Probolinggo,2846.335443,8924.08,2810.379612,8103.92,1836.48088,7502.06
Sampang,1989.007294,195600.69,2228.92913,172494.38,1494.402499,167191.35
Sidoarjo,2242.045444,202501.4,2277.313964,194540.45,1669.711867,195855.35
Situbondo,2421.238182,151157.12,2372.35868,141628,1534.667903,157273.25
Sumenep,2116.436367,221979.41,2443.351211,230581.31,1488.655029,217810.48
Trenggalek,2624.017902,116456.34,2927.287483,115758.01,1917.06131,114874.53
Tuban,1958.644583,489418.62,2267.069017,498938.59,1445.65045,501741.12
Tulungagung,2536.674715,237916.96,2688.894193,207217.26,1793.848634,235502.11
