Nama_Kota,Kategori,Tahun,Nilai
Bangkalan,Curah_Hujan,2021,2025.73752076927
Banyuwangi,Curah_Hujan,2021,2842.27737244412
Blitar,Curah_Hujan,2021,2744.28585071911
Blitar,Curah_Hujan,2021,2744.28585071911
Bojonegoro,Curah_Hujan,2021,2460.33896965098
Bondowoso,Curah_Hujan,2021,3217.54988803197
Gresik,Curah_Hujan,2021,2147.91128629606
Jember,Curah_Hujan,2021,3004.5562906149
Jombang,Curah_Hujan,2021,2372.77094821711
Kediri,Curah_Hujan,2021,2584.20157733837
Kediri,Curah_Hujan,2021,2584.20157733837
Lamongan,Curah_Hujan,2021,2084.25248636452
Lumajang,Curah_Hujan,2021,2954.42040288105
Madiun,Curah_Hujan,2021,2688.43512873945
Madiun,Curah_Hujan,2021,2688.43512873945
Magetan,Curah_Hujan,2021,2895.86131673885
Malang,Curah_Hujan,2021,2755.86945247836
Malang,Curah_Hujan,2021,2755.86945247836
Mojokerto,Curah_Hujan,2021,2546.79930052368
Mojokerto,Curah_Hujan,2021,2546.79930052368
Nganjuk,Curah_Hujan,2021,2528.52130672343
Ngawi,Curah_Hujan,2021,2892.39578937089
Pacitan,Curah_Hujan,2021,2789.65805345283
Pamekasan,Curah_Hujan,2021,2077.64114678777
Pasuruan,Curah_Hujan,2021,2527.85987836155
Pasuruan,Curah_Hujan,2021,2527.85987836155
Ponorogo,Curah_Hujan,2021,2618.8703054016
Probolinggo,Curah_Hujan,2021,2846.33544326943
Probolinggo,Curah_Hujan,2021,2846.33544326943
Sampang,Curah_Hujan,2021,1989.00729381511
Sidoarjo,Curah_Hujan,2021,2242.04544378565
Situbondo,Curah_Hujan,2021,2421.23818172072
Sumenep,Curah_Hujan,2021,2116.43636733078
Trenggalek,Curah_Hujan,2021,2624.01790188245
Tuban,Curah_Hujan,2021,1958.64458270575
Tulungagung,Curah_Hujan,2021,2536.67471521895
Bangkalan,Produksi_Padi,2021,195323.29
Banyuwangi,Produksi_Padi,2021,513490.07
Blitar,Produksi_Padi,2021,247366.27
Blitar,Produksi_Padi,2021,5793.3
Bojonegoro,Produksi_Padi,2021,674002.0
Bondowoso,Produksi_Padi,2021,258951.46
Gresik,Produksi_Padi,2021,379666.19
Jember,Produksi_Padi,2021,615697.87
Jombang,Produksi_Padi,2021,326826.64
Kediri,Produksi_Padi,2021,198222.01
Kediri,Produksi_Padi,2021,9534.86
Lamongan,Produksi_Padi,2021,792662.09
Lumajang,Produksi_Padi,2021,295075.52
Madiun,Produksi_Padi,2021,461798.12
Madiun,Produksi_Padi,2021,13505.81
Magetan,Produksi_Padi,2021,307279.68
Malang,Produksi_Padi,2021,273358.61
Malang,Produksi_Padi,2021,11311.4
Mojokerto,Produksi_Padi,2021,297042.32
Mojokerto,Produksi_Padi,2021,4414.93
Nganjuk,Produksi_Padi,2021,429311.01
Ngawi,Produksi_Padi,2021,786475.65
Pacitan,Produksi_Padi,2021,88116.57
Pamekasan,Produksi_Padi,2021,96723.97
Pasuruan,Produksi_Padi,2021,264950.78
Pasuruan,Produksi_Padi,2021,8304.59
Ponorogo,Produksi_Padi,2021,404665.04
Probolinggo,Produksi_Padi,2021,190180.14
Probolinggo,Produksi_Padi,2021,8924.08
Sampang,Produksi_Padi,2021,195600.69
Sidoarjo,Produksi_Padi,2021,202501.4
Situbondo,Produksi_Padi,2021,151157.12
Sumenep,Produksi_Padi,2021,221979.41
Trenggalek,Produksi_Padi,2021,116456.34
Tuban,Produksi_Padi,2021,489418.62
Tulungagung,Produksi_Padi,2021,237916.96
Bangkalan,Curah_Hujan,2022,2315.16142090575
Banyuwangi,Curah_Hujan,2022,2797.47045525511
Blitar,Curah_Hujan,2022,2918.20501067086
Blitar,Curah_Hujan,2022,2918.20501067086
Bojonegoro,Curah_Hujan,2022,2799.66837650784
Bondowoso,Curah_Hujan,2022,3115.21968677404
Gresik,Curah_Hujan,2022,2409.98740106383
Jember,Curah_Hujan,2022,3013.09672814146
Jombang,Curah_Hujan,2022,2500.68672081896
Kediri,Curah_Hujan,2022,2686.18771205027
Kediri,Curah_Hujan,2022,2686.18771205027
Lamongan,Curah_Hujan,2022,2328.08453112215
Lumajang,Curah_Hujan,2022,3008.43615149088
Madiun,Curah_Hujan,2022,2918.54236198278
Madiun,Curah_Hujan,2022,2918.54236198278
Magetan,Curah_Hujan,2022,3260.81167637629
Malang,Curah_Hujan,2022,2889.02811282217
Malang,Curah_Hujan,2022,2889.02811282217
Mojokerto,Curah_Hujan,2022,2643.17038769339
Mojokerto,Curah_Hujan,2022,2643.17038769339
Nganjuk,Curah_Hujan,2022,2632.48166296255
Ngawi,Curah_Hujan,2022,3263.26140158532
Pacitan,Curah_Hujan,2022,3183.47308308349
Pamekasan,Curah_Hujan,2022,2316.53757295305
Pasuruan,Curah_Hujan,2022,2572.64559581604
Pasuruan,Curah_Hujan,2022,2572.64559581604
Ponorogo,Curah_Hujan,2022,2887.21720700453
Probolinggo,Curah_Hujan,2022,2810.37961193009
Probolinggo,Curah_Hujan,2022,2810.37961193009
Sampang,Curah_Hujan,2022,2228.92913022196
Sidoarjo,Curah_Hujan,2022,2277.31396384976
Situbondo,Curah_Hujan,2022,2372.35868006962
Sumenep,Curah_Hujan,2022,2443.35121052319
Trenggalek,Curah_Hujan,2022,2927.28748257334
Tuban,Curah_Hujan,2022,2267.06901660811
Tulungagung,Curah_Hujan,2022,2688.89419291452
Bangkalan,Produksi_Padi,2022,198122.71
Banyuwangi,Produksi_Padi,2022,462205.98
Blitar,Produksi_Padi,2022,215482.79
Blitar,Produksi_Padi,2022,5212.13
Bojonegoro,Produksi_Padi,2022,704288.94
Bondowoso,Produksi_Padi,2022,238677.65
Gresik,Produksi_Padi,2022,411242.2
Jember,Produksi_Padi,2022,607371.19
Jombang,Produksi_Padi,2022,337172.14
Kediri,Produksi_Padi,2022,168853.55
Kediri,Produksi_Padi,2022,10197.5
Lamongan,Produksi_Padi,2022,903882.29
Lumajang,Produksi_Padi,2022,300829.01
Madiun,Produksi_Padi,2022,401573.69
Madiun,Produksi_Padi,2022,11453.92
Magetan,Produksi_Padi,2022,266699.89
Malang,Produksi_Padi,2022,271606.78
Malang,Produksi_Padi,2022,10771.15
Mojokerto,Produksi_Padi,2022,281829.41
Mojokerto,Produksi_Padi,2022,5032.96
Nganjuk,Produksi_Padi,2022,376476.43
Ngawi,Produksi_Padi,2022,755938.95
Pacitan,Produksi_Padi,2022,90428.21
Pamekasan,Produksi_Padi,2022,107648.71
Pasuruan,Produksi_Padi,2022,247255.72
Pasuruan,Produksi_Padi,2022,7293.69
Ponorogo,Produksi_Padi,2022,359413.77
Probolinggo,Produksi_Padi,2022,185412.51
Probolinggo,Produksi_Padi,2022,8103.92
Sampang,Produksi_Padi,2022,172494.38
Sidoarjo,Produksi_Padi,2022,194540.45
Situbondo,Produksi_Padi,2022,141628.0
Sumenep,Produksi_Padi,2022,230581.31
Trenggalek,Produksi_Padi,2022,115758.01
Tuban,Produksi_Padi,2022,498938.59
Tulungagung,Produksi_Padi,2022,207217.26
Bangkalan,Curah_Hujan,2023,1524.78029374045
Banyuwangi,Curah_Hujan,2023,1673.36410396109
Blitar,Curah_Hujan,2023,1876.13094989172
Blitar,Curah_Hujan,2023,1876.13094989172
