Nama_Kota,Curah_Hujan_(mm),Produksi_Padi_2021,Produksi_Padi_2022,Produksi_Padi_2023
Kabupaten Bangkalan,56.78,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,14.75,"513490,07","462205,98","454768,46"
Kabupaten Blitar,27.6,"247366,27","215482,79","240224,41"
Kabupaten Blitar,27.6,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,29.56,674002,"704288,94","705962,63"
Kabupaten Bondowoso,29.59,"258951,46","238677,65","247778,74"
Kabupaten Gresik,36.05,"379666,19","411242,2","417428,58"
Kabupaten Jember,15.67,"615697,87","607371,19","616725,77"
Kabupaten Jombang,52.58,"326826,64","337172,14","346873,45"
Kabupaten Kediri,31.59,"198222,01","168853,55","183533,76"
Kabupaten Kediri,31.59,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,36.05,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,23.85,"295075,52","300829,01","308646,08"
Kabupaten Madiun,31.2,"461798,12","401573,69","437593,08"
Kabupaten Madiun,31.2,"13505,81","11453,92","12169,62"
Kabupaten Magetan,31.2,"307279,68","266699,89","280592,09"
Kabupaten Malang,36.86,"273358,61","271606,78","279365,91"
Kabupaten Malang,36.86,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,50.62,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,50.62,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,32.35,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,31.2,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,27.18,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,59.65,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,25.66,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,25.66,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,31.56,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,24.03,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,24.03,"8924,08","8103,92","7502,06"
Kabupaten Sampang,42.6,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,17.92,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,27.2,"151157,12",141628,"157273,25"
